========================================================================================================================
      Distribuição de temperatura nos pontos (Xi) da malha calculados pelo metodo Implícito por diferenças finitas.
========================================================================================================================

Comprimento da barra (L): 10.00000 cm

Nº de pontos discretizados (I): 6 nós

Valor da variação do tempo (delta t) para cada iteração: 0.100 segundos

Nº de iterações no tempo (N): 150 iterações em delta t

Valores dos parâmetros de alfa...

Constante k: 0.490000

Calor específico c: 0.217400

rho: 2.700000

u(t, xi) , com t variando de 0 até 149, e xi com i = 0, 1,..., 5 são os nós da malha...

u(0,0): 100.000000	u(0,1): 0.000000	u(0,2): 0.000000	u(0,3): 0.000000	u(0,4): 0.000000	u(0,5): 50.000000	
u(1,0): 100.000000	u(1,1): 2.004149	u(1,2): 0.040568	u(1,3): 0.020888	u(1,4): 1.002087	u(1,5): 50.000000	
u(2,0): 100.000000	u(2,1): 3.929567	u(2,2): 0.118903	u(2,3): 0.061795	u(2,4): 1.964842	u(2,5): 50.000000	
u(3,0): 100.000000	u(3,1): 5.780114	u(3,2): 0.232376	u(3,3): 0.121876	u(3,4): 2.890227	u(3,5): 50.000000	
u(4,0): 100.000000	u(4,1): 7.559443	u(4,2): 0.378519	u(4,3): 0.200304	u(4,4): 3.780106	u(4,5): 50.000000	
u(5,0): 100.000000	u(5,1): 9.271016	u(5,2): 0.555018	u(5,3): 0.296277	u(5,4): 4.636253	u(5,5): 50.000000	
u(6,0): 100.000000	u(6,1): 10.918112	u(6,2): 0.759701	u(6,3): 0.409015	u(6,4): 5.460356	u(6,5): 50.000000	
u(7,0): 100.000000	u(7,1): 12.503839	u(7,2): 0.990529	u(7,3): 0.537759	u(7,4): 6.254018	u(7,5): 50.000000	
u(8,0): 100.000000	u(8,1): 14.031141	u(8,2): 1.245591	u(8,3): 0.681776	u(8,4): 7.018767	u(8,5): 50.000000	
u(9,0): 100.000000	u(9,1): 15.502808	u(9,2): 1.523093	u(9,3): 0.840352	u(9,4): 7.756051	u(9,5): 50.000000	
u(10,0): 100.000000	u(10,1): 16.921485	u(10,2): 1.821351	u(10,3): 1.012797	u(10,4): 8.467249	u(10,5): 50.000000	
u(11,0): 100.000000	u(11,1): 18.289680	u(11,2): 2.138788	u(11,3): 1.198444	u(11,4): 9.153671	u(11,5): 50.000000	
u(12,0): 100.000000	u(12,1): 19.609769	u(12,2): 2.473923	u(12,3): 1.396646	u(12,4): 9.816561	u(12,5): 50.000000	
u(13,0): 100.000000	u(13,1): 20.884008	u(13,2): 2.825367	u(13,3): 1.606779	u(13,4): 10.457101	u(13,5): 50.000000	
u(14,0): 100.000000	u(14,1): 22.114533	u(14,2): 3.191818	u(14,3): 1.828241	u(14,4): 11.076413	u(14,5): 50.000000	
